timestamp,sender_id,receiver_id,message_type,message_size,channel_number,user_priority,psid,sender_pos_x,sender_pos_y,sender_pos_z,sender_speed_x,sender_speed_y,sender_speed_z,sender_speed,sender_heading,receiver_pos_x,receiver_pos_y,receiver_pos_z,receiver_speed_x,receiver_speed_y,receiver_speed_z,receiver_speed,receiver_heading,distance,signal_strength,snr,sender_road_id,receiver_road_id,sender_lane_index,receiver_lane_index,message_data,message_serial,is_broadcast,is_beacon,is_accident,time_headway,relative_speed,same_lane,same_road
199.028844,2440754,310,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2441.203307,2046.471811,0.000000,-1.063972,-13.279752,0.000000,13.322307,-94.580745,35.996518,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.322307,0,0
199.028844,2440754,316,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2442.695254,2027.850372,0.000000,-1.064007,-13.280184,0.000000,13.322740,-94.580745,54.677063,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.322740,0,0
199.028844,2440754,322,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2445.896261,1987.897652,0.000000,-1.109169,-13.843875,0.000000,13.888237,-94.580745,94.757349,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.888237,0,0
199.028844,2440754,286,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2327.674693,2118.213373,0.000000,-13.984570,0.472341,0.000000,13.992544,178.065521,116.638791,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.992544,0,0
199.028845,2440754,328,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2450.339502,1932.440233,0.000000,-1.117898,-13.952822,0.000000,13.997533,-94.580745,150.392248,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.997533,0,0
199.028845,2440754,280,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2265.603491,2116.116865,0.000000,-13.865879,0.468332,0.000000,13.873786,178.065521,176.326755,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.873786,0,0
199.028845,2440754,334,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2448.461903,1898.211835,0.000000,1.013319,-13.935131,0.000000,13.971925,-85.840952,184.427411,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.971925,0,0
199.028845,2440754,274,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2239.379397,2114.371125,0.000000,-13.740529,1.948513,0.000000,13.877998,171.928831,201.844592,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.877998,0,0
199.028845,2440754,340,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2446.278304,1868.183043,0.000000,1.011395,-13.908673,0.000000,13.945398,-85.840952,214.331203,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.945398,0,0
199.028845,2440754,268,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2189.539309,2102.075591,0.000000,-13.156831,4.462185,0.000000,13.892923,161.265456,249.910615,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.892923,0,0
